27.3626,15.8354,2.905,0.4144,0.2259,-12.9592,4.2514,11.4487,9.808,168.391,h
54.7975,19.5799,3.0598,0.2536,0.159,23.1715,45.4473,12.7693,2.801,249.162,h
18.1043,14.3997,2.3664,0.5505,0.3634,-6.1228,15.6644,-7.1514,42.881,126.574,h
87.024,27.1425,3.7084,0.1853,0.0974,-40.5662,70.7937,-19.7587,0.279,320.435,h
28.2866,6.7738,2.1959,0.586,0.2962,-7.1484,-17.522,1.2828,36.5127,274.118,h
64.9081,16.3647,2.8241,0.2279,0.1282,-22.8831,-42.0859,10.438,8.841,202.51,h
67.5331,23.5761,2.8488,0.4108,0.2727,-24.1748,-32.3389,-26.193,9.4092,316.038,h
79.5573,32.6225,3.0504,0.2609,0.1527,56.9289,54.3854,-21.4948,1.0618,346.224,h
74.6083,21.0485,3.2714,0.2404,0.1266,-99.6731,22.7059,11.9171,0.1577,230.589,h
32.8087,17.3659,2.6959,0.3646,0.2346,6.3366,-23.3803,-18.1551,21.846,140.705,h
30.3139,11.9777,2.5366,0.4244,0.2137,22.5751,25.2755,9.3084,30.757,157.636,h
36.1686,18.5335,2.7084,0.2798,0.1536,56.2287,-13.0029,13.5239,4.218,214.564,h
28.0462,15.1104,2.7218,0.334,0.1679,-26.7313,-14.8064,6.3765,26.6013,197.445,h
33.352,12.759,2.6937,0.3421,0.1771,-9.8911,18.9779,1.4586,9.695,158.918,h
89.102,22.2456,3.307,0.1894,0.1092,-41.9241,69.5356,7.5609,4.472,299.979,h
47.3598,17.2387,3.0781,0.2673,0.1449,-40.3492,-26.4639,-7.8437,3.1134,229.38,h
33.5349,13.7973,2.4385,0.3352,0.1803,21.4601,17.9121,10.9886,7.815,107.398,h
56.2513,26.6153,3.2665,0.1971,0.108,55.8478,45.2993,-17.1503,9.9628,114.099,h
50.9035,18.5658,2.8672,0.2539,0.1419,24.1447,25.1034,10.6959,8.5367,234.42,h
80.0206,24.5151,2.7839,0.3109,0.1719,-103.528,65.5604,-16.43,30.1986,277.589,h
46.4446,12.5216,2.708,0.3585,0.1988,-0.0947,24.2357,-11.9515,6.2087,167.626,h
16.8917,11.3907,2.2122,0.5767,0.2914,0.643,-4.8717,2.4775,73.5609,93.9419,h
29.9762,7.5209,2.2742,0.5691,0.2899,-9.3608,-11.8384,-5.2263,53.211,188.178,h
26.6885,8.5852,2.6101,0.6061,0.3055,4.4583,16.0747,-4.6694,14.1441,109.703,h
19.1932,17.1061,2.2718,0.5455,0.2807,-26.3869,9.2521,-17.508,56.213,210.071,h
18.8495,11.5078,2.3674,0.6352,0.3326,11.491,18.224,6.6396,65.3027,148.866,h
75.3209,32.3544,3.3055,0.3979,0.2502,46.5909,44.4458,25.6188,2.001,407.345,h
49.3531,19.755,2.8382,0.3788,0.2184,-25.0469,-43.7949,-11.6485,22.18,147.028,h
80.4337,25.0718,3.227,0.3166,0.1764,22.1043,-33.8164,-17.5309,0.867,352.189,h
88.3505,30.1839,3.1268,0.3264,0.2102,-14.1726,-61.5763,-21.4036,8.3369,370.066,h
34.5863,18.9014,2.8639,0.3338,0.184,-9.164,31.007,5.1029,22.696,124.747,h
74.2846,27.216,3.8374,0.1592,0.0828,64.1335,71.574,-8.275,5.1219,272.336,h
86.5927,25.3707,3.3143,0.177,0.0934,-108.693,73.6483,-18.1849,1.489,221.341,h
19.0626,16.0027,2.4023,0.4911,0.2911,4.2981,-16.7702,-7.7855,85.4811,156.457,h
55.9818,18.2547,2.7889,0.3512,0.1829,13.2042,62.6131,9.032,14.579,266.739,h
24.1656,15.57,2.7037,0.4233,0.2443,1.7883,19.2392,7.2629,69.3668,49.7173,h
44.2753,27.7639,3.266,0.265,0.1407,38.7338,43.2498,-24.4942,14.118,148.595,h
93.2868,41.7445,4.1444,0.095,0.0479,8.3701,78.9896,30.5439,1.5522,275.117,h
25.2333,7.5107,2.3222,0.681,0.3881,-13.008,11.1798,5.0984,17.1998,137.824,h
18.2475,12.7427,2.4793,0.5804,0.3035,5.0215,-13.079,9.0867,14.9667,115.333,h
27.5402,7.9365,2.29,0.5949,0.3154,17.1615,-16.7625,-5.4287,9.928,213.261,h
33.3308,10.1151,2.472,0.6307,0.3828,-36.3157,-23.9989,7.9524,22.93,306.145,h
50.0677,17.6383,2.8052,0.2443,0.1245,-69.2489,-33.4756,-12.1053,21.887,233.149,h
26.1083,19.3348,2.6513,0.3571,0.2132,17.0059,12.6018,-10.5685,17.658,254.888,h
57.111,15.9127,2.5711,0.4295,0.2161,31.4437,62.9231,-15.8723,39.9411,145.202,h
36.7172,23.8754,3.2685,0.2312,0.1215,8.0276,23.4216,-12.0407,3.0427,86.714,h
37.3135,15.1553,2.7931,0.277,0.1409,42.6178,24.4088,-8.6108,6.6237,151.793,h
66.8153,21.9456,3.1818,0.202,0.1049,57.4815,65.0778,-14.1027,9.1974,179.243,h
72.3361,20.4438,2.9501,0.4218,0.2563,-25.9266,35.8239,-24.5737,1.832,335.901,h
28.1159,15.6551,2.5472,0.3716,0.2057,-25.4921,-23.8238,-12.4067,3.465,218.68,h
80.0032,21.2266,3.2118,0.2039,0.1022,-131.504,64.7447,13.4333,9.041,303.467,h
32.169,23.6508,3.104,0.2314,0.1279,21.2629,23.9994,13.0646,60.7186,103.947,h
58.8021,16.8468,2.9162,0.3287,0.1898,64.3127,38.5262,7.3994,2.5713,260.66,h
21.1275,12.5178,2.2541,0.4513,0.2312,29.3205,-5.8869,9.6623,30.368,98.0832,h
23.3283,12.853,2.2253,0.5536,0.2887,-17.0868,-9.4313,-7.0042,0.663,179.457,h
26.6016,0,2.2188,0.7915,0.432,-27.8246,-13.8735,-0.0001,15.92,189.441,h
26.4307,13.9352,2.4601,0.3986,0.2409,-7.9736,-16.8454,-9.4322,22.393,160.798,h
19.5686,10.9677,2.3222,0.6667,0.35,-14.9882,-17.7184,6.5899,10.9472,165.183,h
61.3416,24.4418,3.5471,0.1549,0.0785,3.6469,60.7341,-8.9958,0.8541,186.119,h
76.244,22.5596,3.2477,0.1888,0.0986,70.9399,71.2976,18.2649,5.054,237.938,h
27.2873,21.3621,2.7063,0.3422,0.1878,-2.8401,-17.936,11.2756,17.919,73.7366,h
90.0781,32.3167,3.8758,0.133,0.0704,-66.0988,77.9192,-10.3074,3.343,275.422,h
72.2842,22.003,2.7631,0.2778,0.1665,-48.6834,33.3607,22.8024,2.371,313.163,h
33.9349,14.5479,2.5478,0.3343,0.1827,6.9826,-19.9363,-10.4144,8.1657,232.97,h
21.7471,10.5469,2.2201,0.6145,0.4006,19.606,20.5637,-11.5252,16.005,158.279,h
21.143,6.8428,2.0737,0.7426,0.4346,21.5922,14.1347,-6.2006,61.5734,171.131,h
20.2916,10.0261,2.3324,0.6186,0.3837,-3.7675,15.1637,-8.0088,67.912,170.446,h
79.6249,39.2926,3.5103,0.151,0.078,-24.2103,66.9794,26.9459,7.07,307.477,h
19.1132,9.5944,2.3674,0.6652,0.4399,5.688,-14.7571,10.26,6.052,65.0976,h
44.084,9.7187,2.6091,0.3985,0.2226,48.206,23.3322,-10.1423,8.387,204.249,h
42.8206,17.3629,2.8686,0.3045,0.1631,4.0496,39.6461,-8.7974,22.0916,117.341,h
97.7238,23.5901,2.6981,0.4148,0.2194,-102.496,55.8828,7.1291,15.162,224.241,h
12.59,11.8424,2.1538,0.6947,0.3754,-16.1464,9.8556,7.9256,84.3099,46.2508,h
28.7485,9.6862,2.4108,0.4854,0.2893,38.7305,-15.7221,-6.489,1.068,197.412,h
22.1635,15.3738,2.5514,0.4382,0.2261,29.7541,-9.5821,-4.5724,26.5822,110.607,h
95.5973,25.7806,3.4943,0.2169,0.1152,-13.2794,43.3393,16.6877,0.5731,327.217,h
79.8595,36.1835,3.675,0.2153,0.1149,-26.4658,-19.1244,-12.5419,1.827,356.012,h
18.2804,12.5776,2.5472,0.5617,0.322,-1.3158,10.3272,7.9166,47.0022,141.085,h
40.0184,28.3689,2.8222,0.1883,0.0986,-61.5812,31.0424,-25.3874,4.774,118.829,h
52.4722,23.5699,3.1558,0.1963,0.1065,-22.716,-25.9285,-6.1415,10.7248,160.741,h
52.3415,25.9907,3.0953,0.3123,0.1794,-50.8281,-23.0647,-21.0815,2.441,309.491,h
67.7351,21.1326,3.2353,0.1896,0.0957,17.3644,50.0941,15.3525,2.6774,251.824,h
75.4335,24.8016,2.993,0.2805,0.1723,-60.4083,-53.5001,17.2595,0.298,301.215,h
38.5934,23.4096,2.7767,0.2391,0.138,51.0509,-24.1166,-16.1042,26.9788,73.3844,h
84.1495,15.471,2.9956,0.2364,0.1379,-78.8068,69.7426,10.8598,0.4443,251.504,h
85.6354,36.3469,3.6848,0.1674,0.0908,-66.825,68.3573,-25.4877,4.0749,353.088,h
28.0178,15.9448,2.666,0.4898,0.2859,17.8295,25.2732,13.5131,30.3436,233.553,h
23.5514,9.0361,2.4191,0.6019,0.4133,12.3438,8.3462,5.4841,25.6299,176.581,h
63.2037,27.8243,3.3979,0.1624,0.0902,22.8586,48.7694,-19.1961,4.87,239.382,h
61.867,27.305,3.3701,0.2329,0.1239,78.6409,51.4345,-24.5546,0.512,237.326,h
13.0085,10.5592,2.1775,0.7641,0.5017,12.9303,3.6848,-7.5805,31.3229,101.243,h
111.055,28.6254,3.1816,0.21,0.1175,-121.061,43.8447,10.5501,0.261,337.155,h
115.362,31.6564,3.0654,0.1557,0.083,103.769,89.7305,26.9906,0.864,240.629,h
74.2516,29.6809,2.8463,0.235,0.1232,91.203,58.9536,13.4662,3.2129,277.148,h
29.3411,18.9033,2.6566,0.43,0.226,-14.9195,26.1636,-12.012,30.2038,65.2698,h
57.1553,23.6757,3.1541,0.176,0.0971,3.8214,25.6631,19.9498,14.1288,166.088,h
29.4859,12.9874,2.4433,0.364,0.218,26.0576,17.394,-4.4317,6.035,131.668,h
24.2378,11.0764,2.437,0.5484,0.3711,-10.7092,-22.2389,-7.2923,5.6286,177.415,h
20.482,15.8618,2.3945,0.4355,0.2359,-2.2302,9.9438,-9.791,71.972,126.831,h
31.249,20.8416,2.6196,0.3361,0.2005,-6.8301,24.4418,-16.2498,22.1785,146.668,h
33.4757,12.2036,2.6269,0.3896,0.2113,1.7549,-7.047,3.1357,20.071,175.236,h
35.3773,16.9702,2.6566,0.3506,0.1929,27.6359,16.8164,8.8632,0.2798,214.921,h
25.5642,15.3026,2.5729,0.4786,0.3115,12.544,-15.761,-12.9891,13.3833,178.295,h
83.6515,35.5369,3.882,0.1497,0.0792,-41.8227,71.5107,-24.2606,2.389,296.51,h
30.8885,20.3166,2.667,0.3122,0.1604,-3.4256,-16.6435,-11.5359,54.9356,226.905,h
30.3114,16.0194,2.7493,0.4061,0.2199,-9.4305,13.4294,6.6856,18.0418,208.224,h
18.1188,10.6617,2.2529,0.5642,0.2821,24.0994,8.3638,-4.6812,83.0585,212.21,h
32.7861,17.9806,2.356,0.4053,0.2137,-27.1037,-25.4106,14.6214,29.924,217.15,h
12.9535,11.2802,2.1319,0.7454,0.4022,14.9291,-6.0758,-11.3938,31.0982,173.797,h
91.5673,17.3431,2.6439,0.3178,0.1827,-61.8638,-100.671,14.479,2.947,164.785,h
20.5692,12.6622,2.4289,0.4842,0.2737,-18.1365,-11.5884,-3.913,13.9,194.491,h
37.0371,8.8102,2.3865,0.4805,0.2526,23.1075,21.3278,-2.5372,3.198,154.088,h
54.4407,20.7228,2.785,0.2789,0.1436,48.6874,37.5961,-20.6507,19.5239,238.8,h
29.9384,20.6567,2.8119,0.3423,0.2043,17.003,25.2722,-17.1316,22.871,78.6451,h
44.5906,13.1451,2.8915,0.3055,0.1547,10.6781,-8.0974,-7.145,0.706,192.935,h
27.673,12.2087,2.3493,0.4251,0.217,21.6289,-14.5838,-9.3565,10.6699,203.473,h
79.4527,34.5756,3.9385,0.1112,0.0564,10.6826,85.623,-11.6505,8.4526,193.317,h
44.6668,26.527,3.3859,0.1908,0.1047,11.5043,-19.3863,7.7734,5.919,178.526,h
18.5594,10.1974,2.2355,0.6047,0.3459,21.9107,11.4938,-4.4105,17.4835,50.4178,h
43.964,25.5927,3.479,0.1958,0.1011,48.367,22.1145,10.4792,2.9782,156.744,h
62.3965,21.7309,2.7063,0.3127,0.1603,-66.1492,42.2396,7.7642,6.155,292.278,h
39.5437,11.2019,2.6853,0.4149,0.2198,33.0736,26.3628,-7.45,3.7748,267.892,h
79.196,15.4942,2.8319,0.3623,0.2202,-23.6238,50.0443,-17.1367,7.135,316.098,h
65.4139,23.578,2.4893,0.363,0.1961,-43.4968,-64.5557,-19.0553,8.72,168.322,h
56.3489,24.1717,2.9857,0.2842,0.1731,21.0311,50.8783,25.9286,5.928,203.755,h
30.3077,13.9511,2.3811,0.5364,0.2723,-12.5947,-11.487,9.8753,31.293,232.073,h
73.1241,24.307,3.4442,0.1902,0.0962,33.8129,77.1818,-13.9368,4.018,273.158,h
76.1033,23.1917,3.4921,0.1523,0.0823,21.8761,61.7436,11.0542,2.07,267.468,h
77.6784,25.6998,3.6576,0.2206,0.1149,32.4617,61.8591,-20.2988,1.592,270.04,h
77.9064,51.3452,4.2024,0.0755,0.0389,13.566,78.3525,-20.1983,10.395,123.429,h
29.8194,14.2443,2.5085,0.369,0.1969,-23.387,-19.8816,11.5818,2.141,159.168,h
20.0516,7.1417,2.1599,0.7751,0.3979,21.8401,12.5352,5.1684,23.469,141.557,h
44.9545,19.6036,2.642,0.3352,0.1767,-3.3857,43.5802,4.8864,6.826,164.776,h
26.4869,12.2602,2.5527,0.3922,0.2003,-24.8299,20.1534,8.9741,40.5639,163.722,h
75.9173,37.9258,3.1564,0.1332,0.0736,93.325,14.856,28.4568,4.434,229.766,h
24.6754,12.0523,2.5658,0.4348,0.2296,5.5282,10.1589,9.2972,15.901,140.021,h
39.191,14.4806,2.7067,0.277,0.1444,-24.0162,22.5502,6.225,2.5603,79.814,h
18.7258,10.3934,2.248,0.5198,0.2684,-25.5405,-5.4961,-2.5632,21.0697,83.9883,h
98.768,27.7681,3.3029,0.1578,0.0804,-12.9733,71.8292,-22.3833,1.8306,174.465,h
23.2775,10.5813,2.2967,0.5707,0.3207,-23.4285,-19.3432,-10.6336,35.4214,209.834,h
80.0806,33.6578,3.5588,0.1972,0.1054,20.1725,48.9749,19.6337,1.8161,381.406,h
41.5234,9.8326,2.4472,0.4071,0.2411,57.952,-24.6444,3.6668,0.265,188.701,h
64.9547,16.9587,2.8672,0.3109,0.1555,48.0015,54.7258,-12.65,0.195,255.726,h
68.5832,20.7516,3.1926,0.224,0.1325,54.8278,56.8286,-7.9707,2.67,242.054,h
65.9214,14.9115,3.2049,0.2402,0.1269,-125.87,53.3382,-9.6839,3.118,215.35,h
19.7981,7.0834,2.1569,0.7944,0.4146,20.982,13.101,-4.7307,0.623,203.47,h
44.7821,14.8631,2.889,0.2569,0.1414,31.6467,24.9265,8.4655,4.0468,242.131,h
19.3327,18.8241,2.4616,0.3592,0.1813,23.4324,11.558,-6.2549,3.533,204.527,h
23.4016,15.5129,2.7427,0.4448,0.2306,18.3005,-11.4363,-12.3202,21.2603,176.81,h
75.5588,21.1687,3.2084,0.1745,0.0907,11.8419,39.4795,-10.1011,0.013,251.793,h
41.989,12.7864,2.3664,0.486,0.2516,31.4147,26.8038,8.2184,28.063,85.428,h
28.272,12.6826,2.4886,0.487,0.3068,22.2337,24.5275,9.5953,22.252,155.019,h
77.1642,21.3003,2.9852,0.2162,0.1164,0.4049,66.7085,-6.7083,7.7247,215.397,h
32.5113,20.2822,2.9727,0.262,0.1368,41.3193,11.4314,-9.3542,5.489,250.274,h
84.597,24.719,3.3623,0.2219,0.1335,-49.5077,-12.7191,-11.3623,1.49,279.982,h
55.0918,16.1955,2.7152,0.3796,0.2283,60.817,41.4758,9.0698,3.965,179.872,h
20.1445,7.3118,2.1319,0.7306,0.3948,-1.9886,9.008,5.4349,9.906,104.317,h
42.9943,22.4036,2.9135,0.2111,0.1104,-6.8543,24.7846,-11.3654,4.988,174.959,h
52.2445,17.3463,2.6537,0.3418,0.1743,35.0116,39.8659,12.1403,2.315,143.054,h
43.7592,23.0203,3.2831,0.2001,0.1019,-14.7281,17.2608,-20.028,5.167,220.111,h
26.7828,15.19,2.6294,0.493,0.2664,-9.7672,-19.1196,14.7566,42.8808,24.3978,h
19.2924,7.2769,2.1508,0.7915,0.4276,4.7252,-10.7908,-3.89,68.7907,196.725,h
33.6044,20.9643,2.7864,0.3189,0.1774,30.643,-15.2684,-8.8839,9.802,166.839,h
15.966,11.8254,2.2672,0.6216,0.3162,0.7171,-3.9839,3.1696,8.014,105.672,h
82.1033,28.2856,3.3903,0.2683,0.1586,28.6454,-44.7532,-18.1874,1.985,369.023,h
34.8407,23.6243,2.9219,0.2896,0.1514,1.3326,23.0298,-14.9539,5.9938,187.459,h
33.4992,22.9809,2.8768,0.3015,0.1627,1.0433,30.3014,16.2923,33.6328,192.522,h
35.9582,21.7627,3.1841,0.2723,0.1463,30.1234,-25.3418,-14.2574,8.0679,197.279,h
75.5097,32.861,2.8762,0.2912,0.1735,-70.7537,-45.2572,28.6181,5.7551,323.932,h
19.2917,12.5449,2.3608,0.5098,0.3072,1.2778,-8.6821,10.193,37.029,58.3083,h
36.5312,20.5986,2.8633,0.2822,0.1678,-2.5466,17.0686,-3.6591,7.0737,134.997,h
28.0654,24.0877,3.095,0.3053,0.174,15.1953,14.3186,5.7485,34.2341,100.225,h
23.9534,11.0193,2.4976,0.5056,0.275,9.6156,20.4677,-4.6094,11.5163,136.27,h
27.1944,11.5902,2.4472,0.4214,0.2232,-11.9771,11.7328,-1.9341,3.2782,170.519,h
97.815,30.6089,3.4164,0.1461,0.0807,56.6552,84.3183,12.7832,10.9562,293.82,h
41.7961,20.9112,2.9747,0.2056,0.1065,-12.7275,31.5867,5.3849,55.6702,96.2122,h
21.77,16.4089,2.637,0.4637,0.2434,-10.3676,11.8129,16.1668,12.204,171.827,h
50.026,23.5099,2.9375,0.2945,0.1553,4.7615,-18.9508,12.0203,9.4937,265.398,h
33.681,13.3657,2.5949,0.3609,0.1919,23.7961,23.2017,9.6868,1.126,179.082,h
20.7138,9.9089,2.2304,0.5941,0.3676,-4.6486,15.8454,-9.9597,69.608,152.882,h
51.5578,15.1741,2.5478,0.4363,0.2337,41.8273,51.5694,-9.5641,5.498,148.639,h
85.3224,24.5625,3.1875,0.2058,0.1153,46.5941,82.067,-22.2008,0.137,256.507,h
65.8244,18.8813,3.0978,0.2028,0.1066,-41.7522,53.5763,-12.4085,8.031,218.971,h
36.6283,11.2304,2.4735,0.3462,0.1765,-6.1641,-7.1528,-6.7342,9.08,159.84,h
28.9203,21.7939,2.7853,0.3262,0.1746,-5.5771,-27.9037,9.0569,18.6016,130.985,h
61.5553,23.7252,3.2649,0.1798,0.0899,83.3512,39.4129,-12.1938,3.363,214.055,h
26.4121,17.8816,2.6042,0.3458,0.1779,11.6522,16.5482,-15.3669,20.435,204.868,h
85.0351,48.4047,3.9532,0.1497,0.0944,-33.5836,49.7822,-26.0969,3.181,351.977,h
13.3231,10.6018,2.1599,0.7889,0.3979,-14.9435,-1.8627,11.904,29.159,119.778,h
20.4079,14.6465,2.4771,0.47,0.2717,1.1802,-9.7435,-6.8304,89.2364,103.368,h
24.8648,11.9402,2.6053,0.5434,0.3586,17.8364,17.5205,10.9938,21.252,207.42,h
17.6798,10.9569,2.2148,0.5366,0.2957,-0.5043,4.9753,-4.8227,82.015,180.983,h
85.3814,18.3917,2.7931,0.3011,0.1957,-70.2899,-58.7193,-15.0238,1.869,259.995,h
36.6156,9.9179,2.4955,0.4505,0.2444,-22.0973,-9.8588,7.6083,3.125,223.73,h
28.8038,6.6537,2.2672,0.5892,0.3,-14.6456,9.7648,-4.243,37.1524,223.553,h
30.8618,18.3281,2.8627,0.3731,0.2476,11.5443,29.4609,-14.611,23.1046,93.6596,h
24.788,15.5164,2.4409,0.4022,0.2192,-15.1962,-16.1815,-13.349,57.5441,57.8058,h
20.8173,12.9622,2.2799,0.4672,0.2598,-13.4953,-10.6395,-6.5901,61.3805,161.368,h
45.0083,22.6768,2.9398,0.3044,0.1591,9.3298,35.8661,17.2228,1.511,243.302,h
31.4334,10.8098,2.3918,0.499,0.2738,30.5737,23.5748,-8.387,1.509,160.522,h
37.5053,15.776,2.541,0.4086,0.2201,56.4918,-26.1547,-13.9538,8.6201,186.874,h
102.807,16.3198,2.5711,0.4376,0.2617,-165.76,96.1142,14.9267,6.4229,216.198,h
18.0794,17.1041,2.3865,0.5051,0.2649,-18.0599,-14.3077,-13.3956,15.643,223.215,h
52.719,18.9834,2.608,0.3453,0.2059,-39.271,19.4024,9.8847,6.3642,174.436,h
100.643,24.0109,3.4905,0.2095,0.1117,99.9048,100.515,17.9704,4.015,248.433,h
56.8011,25.2185,3.5661,0.1651,0.1033,13.9685,47.6896,14.7352,8.732,200.659,h
46.507,11.2989,2.3847,0.5526,0.3691,28.1802,40.0369,8.4745,13.3338,105.453,h
20.4275,9.3986,2.3483,0.6368,0.4103,-2.2775,13.7825,-9.3433,79.73,47.1448,h
37.6085,26.9945,3.0856,0.2044,0.1039,37.1349,14.3963,-5.9997,6.6889,205.566,h
19.0206,14.3772,2.5527,0.521,0.3011,3.004,-10.6864,-3.7082,89.1761,159.873,h
28.9792,11.0847,2.4224,0.4575,0.2552,23.1427,-19.7655,4.059,6.3588,182.577,h
30.9732,12.7544,2.4533,0.4613,0.2377,7.829,-20.6176,5.6696,22.8837,211.975,h
63.0722,19.5673,2.5888,0.384,0.2384,37.075,59.9254,6.2124,47.8428,190.255,h
25.591,16.8093,2.618,0.3831,0.194,25.762,21.0808,-9.7021,82.0874,59.8683,h
13.0703,11.026,2.1833,0.7607,0.423,14.5538,-5.1004,-11.3506,15.8005,197.546,h
25.1721,10.343,2.3395,0.4668,0.2403,-11.6863,-18.8279,4.0528,24.564,150.202,h
24.6124,14.6224,2.3086,0.5012,0.2826,9.13,14.101,-13.0228,4.646,225.773,h
109.552,50.098,4.354,0.0529,0.0277,17.3946,91.4728,24.7516,4.69,198.887,h
24.2671,10.0765,2.3493,0.5459,0.3065,7.8302,17.0319,7.5599,10.9993,217.508,h
49.2796,24.96,3.1892,0.2283,0.1362,28.0875,31.771,13.1595,3.414,254.867,h
25.5801,15.8765,2.5276,0.5193,0.2923,-8.6292,-17.1298,14.7861,3.628,176.888,h
23.2875,20.4803,2.9044,0.4436,0.266,-5.9505,17.5035,19.1915,10.2651,103.148,h
20.1503,12.4859,2.4749,0.4958,0.2697,-2.7652,12.3436,-10.2218,3.0331,163.523,h
13.2032,10.7005,2.2956,0.7797,0.443,-14.1279,-3.1228,11.4334,21.6348,193.384,h
24.4102,10.8908,2.3334,0.5058,0.29,-7.0266,-19.5335,-6.8932,4.738,95.0864,h
18.2123,12.7203,2.4158,0.595,0.3013,-5.0695,13.5919,-7.9454,83.0753,196.808,h
13.0542,10.9495,2.1189,0.7605,0.4449,-14.1919,5.4015,-10.6661,33.5722,97.4161,h
104.244,36.4316,3.8046,0.1576,0.0906,-108.41,50.3747,26.3949,1.5254,372.68,h
33.8593,18.4629,2.9079,0.3016,0.1564,6.3783,22.1898,-9.1705,4.009,173.179,h
20.0961,7.1571,2.1089,0.7704,0.393,22.0709,12.3311,5.24,37.783,98.7046,h
28.8261,17.6026,2.7296,0.3187,0.1761,14.0467,9.5193,9.2501,88.0136,100.509,h
24.6512,0,2.2776,0.6755,0.3456,-29.5247,-7.5987,0.0001,0.0003,180.475,h
25.4319,17.0645,2.5321,0.4435,0.2952,15.0833,20.9233,-11.4235,21.5391,195.027,h
26.089,21.2887,2.637,0.3714,0.2042,-38.0685,-10.0772,-14.9168,10.832,172.685,h
28.1841,21.0642,2.6449,0.3533,0.2254,8.7045,22.6026,17.7324,54.1575,99.7971,h
26.5857,12.6161,2.4669,0.43,0.2167,-30.1642,-19.9839,-6.3431,13.873,209.99,h
24.1449,17.1047,2.6021,0.385,0.2062,32.0857,15.5108,-10.4905,35.5329,132.382,h
32.9755,17.0225,2.8092,0.3057,0.1575,-3.5034,21.2323,-7.2435,7.944,133.989,h
32.5748,15.0008,2.7563,0.3348,0.1814,16.1207,24.9912,-5.1209,11.958,137.527,h
31.9966,15.2733,2.6385,0.4207,0.2195,7.5452,30.1338,8.9815,13.294,97.0932,h
18.5177,11.3278,2.3766,0.6891,0.3845,-13.1359,-18.0052,7.7391,58.404,141.675,h
24.4522,12.3135,2.4771,0.5667,0.305,1.4908,11.5066,-6.4661,20.868,182.71,h
93.9699,21.1061,3.3252,0.2019,0.1019,58.4831,108.612,16.286,4.4256,254.857,h
16.8342,11.3774,2.238,0.578,0.315,1.2882,-5.9263,5.0761,26.726,204.339,h
12.6726,11.743,2.1508,0.7138,0.3569,14.9983,0.8645,-11.5275,17.1657,62.8003,h
39.1301,23.5219,3.3266,0.2772,0.1412,-2.3289,23.6216,-5.0648,63.571,37.5995,h
82.0912,35.5279,3.3356,0.2073,0.1263,-47.8773,-37.1067,-20.0705,2.875,280.825,h
27.6894,10.2978,2.317,0.506,0.3012,4.2237,20.323,-6.9264,87.6204,165.452,h
45.903,17.1103,3.3097,0.2887,0.1541,15.8314,33.2516,-0.9053,0.595,198.018,h
34.5549,7.3375,2.5676,0.5332,0.2936,41.8174,22.4152,3.7803,1.8232,150.058,h
70.5593,26.1171,3.4104,0.1399,0.0717,37.261,81.2753,-9.7931,15.4093,194.721,h
26.0064,18.6146,2.6493,0.3946,0.2029,-25.8204,-21.4564,7.2132,61.5717,64.656,h
30.3653,17.6916,2.4091,0.5224,0.2827,-12.4973,-26.1637,8.8247,13.5504,215.374,h
66.5409,16.007,3.1164,0.2562,0.1403,-87.4725,55.43,-8.0378,3.304,274.093,h
21.3806,12.6598,2.4616,0.5527,0.2988,25.3612,13.5855,-6.6962,12.5519,105.811,h
29.0865,6.6934,2.2041,0.5188,0.2594,38.7475,8.445,-2.4604,28.4635,142.266,h
69.2844,26.1481,2.9954,0.285,0.1481,72.6921,46.7218,-20.2793,4.6516,260.637,h
21.2811,9.7289,2.2279,0.6036,0.358,2.5194,-14.6649,9.2378,23.9828,186.74,h
107.484,13.3418,2.6123,0.442,0.2601,120.05,42.0923,-7.7712,1.759,278.108,h
25.6108,14.1868,2.5838,0.4329,0.2673,16.2564,-9.5178,9.0111,18.184,223.637,h
55.79,14.7213,2.8929,0.2841,0.1452,7.2476,-27.844,-8.8634,7.064,163.084,h
28.5676,18.562,2.9219,0.3483,0.1837,2.7163,14.949,-11.1739,8.016,181.981,h
18.0147,14.7309,2.3901,0.5662,0.3809,3.9021,-15.1944,9.5231,69.6147,81.3067,h
19.5478,9.4041,2.3222,0.6381,0.3833,21.5583,12.8937,-4.5847,34.761,155.316,h
24.1784,17.3187,2.4031,0.4229,0.2391,6.9258,-3.9891,13.0288,22.993,130.942,h
27.7451,6.9264,2.2577,0.5635,0.3066,-8.7546,-15.3031,-1.8505,18.4147,176.274,h
33.4985,16.1636,2.7559,0.3351,0.1798,7.9835,19.9654,-13.8051,23.5652,128.645,h
33.1758,23.5519,3.0844,0.3129,0.1799,4.1651,27.404,15.176,16.4238,115.602,h
27.6242,15.654,2.6488,0.4242,0.2256,11.5104,17.2621,-13.0954,18.353,145.793,h
25.9229,10.5564,2.3107,0.4597,0.2518,-14.9488,-19.404,2.1827,34.266,138.37,h
62.2097,25.172,3.3344,0.1686,0.0864,6.4592,55.0157,14.4867,6.1974,217.096,h
19.9277,7.1487,2.1287,0.7807,0.3978,21.7245,12.4945,-4.9894,7.035,203.421,h
90.9844,30.4889,3.2383,0.1935,0.102,-47.5457,-42.5478,24.4705,1.811,293.732,h
36.2553,11.2768,2.5179,0.352,0.1775,55.2045,13.7314,11.7883,17.7197,105.322,h
